x,y,cluster,trend,value,set,residual
190.0,0.0,2,-427.1512926318683,,0,
191.0,0.0,2,-401.99293623957783,,0,
192.0,0.0,2,-369.05672629980836,-159.284279,1,209.77244729980836
193.0,0.0,2,-329.9177659130655,,0,
194.0,0.0,2,-285.7928344582906,,0,
195.0,0.0,2,-237.3584050387144,,0,
196.0,0.0,2,-184.69389456743374,-277.883277,1,-93.18938243256628
197.0,0.0,2,-127.30885977204889,,0,
198.0,0.0,2,-70.72958461474627,,0,
199.0,0.0,2,-20.27893208153546,,0,
0.0,1.0,0,556.9115373599343,,0,
1.0,1.0,0,560.2438829103485,,0,
2.0,1.0,0,562.5267603273969,,0,
3.0,1.0,0,559.897284226492,621.134468,1,61.23718377350792
4.0,1.0,0,547.8704443776514,,0,
5.0,1.0,0,525.1221918365918,,0,
6.0,1.0,0,488.9511088640429,,0,
7.0,1.0,0,436.6232011972461,682.988364,1,246.36516280275396
8.0,1.0,0,368.4059000904672,,0,
9.0,1.0,0,285.69372103735805,,0,
10.0,1.0,0,193.97665821609553,,0,
11.0,1.0,0,99.94249079329893,93.67507,1,-6.267420793298925
12.0,1.0,0,9.639107646187767,,0,
13.0,1.0,0,-72.20401976723224,,0,
14.0,1.0,0,-141.37706281698775,,0,
15.0,1.0,0,-195.16574422304984,-363.506878,1,-168.34113377695013
16.0,1.0,0,-235.69921724731103,,0,
17.0,1.0,0,-265.9263346227817,,0,
18.0,1.0,0,-289.6854999018833,,0,
19.0,1.0,0,-311.47023522108793,-245.055466,1,66.41476922108794
20.0,1.0,0,-335.9589823295828,,0,
21.0,1.0,0,-363.07672187441494,,0,
22.0,1.0,0,-392.0158336556051,,0,
23.0,1.0,0,-420.8796077214647,-368.544611,1,52.334996721464734
24.0,1.0,0,-446.92023312696256,,0,
25.0,1.0,0,-467.5918130064383,,0,
26.0,1.0,0,-482.0468238601461,,0,
27.0,1.0,0,-489.72128057992086,-494.400102,1,-4.678821420079146
28.0,1.0,0,-489.8916784399189,,0,
29.0,1.0,0,-481.9296454027062,,0,
30.0,1.0,0,-465.4526877735043,,0,
31.0,1.0,0,-441.80745799606666,-395.289621,1,46.51783699606665
32.0,1.0,0,-414.0006043508183,,0,
33.0,1.0,0,-383.12044898583554,,0,
34.0,1.0,0,-351.7942082907539,,0,
35.0,1.0,0,-324.1374195115641,-157.078666,1,167.05875351156408
36.0,1.0,0,-304.9712534939172,,0,
37.0,1.0,0,-298.29486607189756,,0,
38.0,1.0,0,-305.11684722080827,,0,
39.0,1.0,0,-324.7572359723272,-453.353661,1,-128.5964250276728
40.0,1.0,0,-356.41213247715496,,0,
41.0,1.0,0,-398.49478761665523,,0,
42.0,1.0,0,-445.9610272423597,,0,
43.0,1.0,0,-494.15224616834894,-530.259884,1,-36.10763783165112
44.0,1.0,0,-543.3726653557969,,0,
45.0,1.0,0,-594.0956047393847,,0,
46.0,1.0,0,-643.4683411075966,,0,
47.0,1.0,0,-688.7335722756106,-902.332336,1,-213.5987637243894
48.0,1.0,0,-727.3370747105218,,0,
49.0,1.0,0,-756.8743009811733,,0,
50.0,1.0,0,-777.1775431301794,,0,
51.0,1.0,0,-788.5120681119151,-887.283703,1,-98.7716348880848
52.0,1.0,0,-790.9690617973683,,0,
53.0,1.0,0,-785.1882436975138,,0,
54.0,1.0,0,-772.8471654474852,,0,
55.0,1.0,0,-755.4361979694804,-807.936082,1,-52.49988403051964
56.0,1.0,0,-731.0459409182658,,0,
57.0,1.0,0,-699.8610324796755,,0,
58.0,1.0,0,-661.9038541530608,,0,
59.0,1.0,0,-617.3132112433668,-677.388051,1,-60.074839756633196
60.0,1.0,0,-565.5838522354607,,0,
61.0,1.0,0,-509.02146130870096,,0,
62.0,1.0,0,-448.63488009240245,,0,
63.0,1.0,0,-384.35803461953765,-538.058448,1,-153.70041338046235
64.0,1.0,0,-315.03605082188733,,0,
65.0,1.0,0,-239.6730127428891,,0,
66.0,1.0,0,-160.47285491914954,,0,
67.0,1.0,0,-79.40359744918533,-193.617908,1,-114.21431055081467
68.0,1.0,0,5.123326906352304,,0,
69.0,1.0,0,94.78437210858101,,0,
70.0,1.0,3,188.0403956512455,,0,
71.0,1.0,3,281.30481648037676,201.262991,1,-80.04182548037676
72.0,1.0,3,367.82869304239284,,0,
73.0,1.0,3,438.59475800569635,,0,
74.0,1.0,3,482.82030819793,,0,
75.0,1.0,3,490.9144570544595,1039.674493,1,548.7600359455405
76.0,1.0,3,463.29174051305745,,0,
77.0,1.0,3,403.8482221728773,,0,
78.0,1.0,3,322.05000723554986,,0,
79.0,1.0,3,228.1349879631889,221.533581,1,-6.601406963188907
80.0,1.0,3,131.50541320012417,,0,
81.0,1.0,3,39.689692341024056,,0,
82.0,1.0,3,-44.39074468234321,,0,
83.0,1.0,3,-119.75987706240267,-141.565533,1,-21.805655937597322
84.0,1.0,3,-186.9444458882208,,0,
85.0,1.0,3,-246.47357987827854,,0,
86.0,1.0,3,-296.1401144119445,,0,
87.0,1.0,3,-334.6056481022388,-401.30109,1,-66.69544189776121
88.0,1.0,3,-361.13208992697764,,0,
89.0,1.0,3,-378.6467384409043,,0,
90.0,1.0,3,-389.30883642230765,,0,
91.0,1.0,3,-395.29748323681997,-355.511471,1,39.78601223682
92.0,1.0,3,-398.9388799639419,,0,
93.0,1.0,3,-399.7819892943662,,0,
94.0,1.0,3,-397.22628736507613,,0,
95.0,1.0,3,-390.93370675708866,-428.033593,1,-37.09988624291134
96.0,1.0,3,-382.10502734358306,,0,
97.0,1.0,3,-374.5109502293635,,0,
98.0,1.0,3,-370.8342014371301,,0,
99.0,1.0,3,-372.73267839930486,-261.165633,1,111.56704539930485
100.0,1.0,3,-382.223175410938,,0,
101.0,1.0,3,-395.165046862443,,0,
102.0,1.0,3,-408.9168012426817,,0,
103.0,1.0,3,-421.6725729755708,-471.260221,1,-49.5876480244292
104.0,1.0,3,-432.4361006926483,,0,
105.0,1.0,3,-442.564623205486,,0,
106.0,1.0,3,-452.171298880392,,0,
107.0,1.0,3,-460.2449958188663,-511.931728,1,-51.68673218113372
108.0,1.0,3,-463.55528789322125,,0,
109.0,1.0,3,-459.15481255820487,,0,
110.0,1.0,3,-446.4592776707141,,0,
111.0,1.0,3,-426.5804121194233,-435.581146,1,-9.000733880576718
112.0,1.0,3,-404.8660135809914,,0,
113.0,1.0,3,-386.44680337182945,,0,
114.0,1.0,3,-371.1207925831841,,0,
115.0,1.0,3,-358.3871237266576,-288.599181,1,69.7879427266576
116.0,1.0,3,-347.8804558690754,,0,
117.0,1.0,3,-336.8014552195091,,0,
118.0,1.0,3,-325.2503283453407,,0,
119.0,1.0,3,-315.2568510605488,-207.56239,1,107.6944610605488
120.0,1.0,3,-309.70568063584506,,0,
121.0,1.0,3,-305.3323299465701,,0,
122.0,1.0,3,-300.1050410675234,,0,
123.0,1.0,3,-292.67675645055715,-437.307612,1,-144.63085554944286
124.0,1.0,3,-281.61621409398504,,0,
125.0,1.0,3,-265.87016865145415,,0,
126.0,1.0,3,-247.98334513651207,,0,
127.0,1.0,3,-229.8109654574655,-369.46331,1,-139.65234454253448
128.0,1.0,3,-209.50054367323173,,0,
129.0,1.0,3,-184.7972218040377,,0,
130.0,1.0,3,-159.51160113088554,,0,
131.0,1.0,3,-136.20277210138738,-276.961617,1,-140.7588448986126
132.0,1.0,1,-112.81756431737449,,0,
133.0,1.0,1,-93.44531829783227,,0,
134.0,1.0,1,-79.38043967529666,,0,
135.0,1.0,1,-71.03976914321538,154.75282,1,225.7925891432154
136.0,1.0,1,-70.8358866777271,,0,
137.0,1.0,1,-80.81135991262272,,0,
138.0,1.0,1,-96.85847975377692,,0,
139.0,1.0,1,-114.43489882093854,-42.485272,1,71.94962682093853
140.0,1.0,1,-131.05701588396914,,0,
141.0,1.0,1,-141.68432177312206,,0,
142.0,1.0,1,-143.93288959865458,,0,
143.0,1.0,1,-137.76420121703995,-24.745336,1,113.01886521703995
144.0,1.0,1,-125.95037082373165,,0,
145.0,1.0,1,-111.91403701319359,,0,
146.0,1.0,1,-97.29854723328026,,0,
147.0,1.0,1,-86.88697985676117,75.052743,1,161.9397228567612
148.0,1.0,1,-89.2091164579615,,0,
149.0,1.0,1,-103.88680964102969,,0,
150.0,1.0,1,-132.18694247794338,,0,
151.0,1.0,1,-175.16654111724347,-178.126555,1,-2.9600138827565274
152.0,1.0,1,-230.61502985365223,,0,
153.0,1.0,1,-294.72229396482,,0,
154.0,1.0,1,-363.1280144842458,,0,
155.0,1.0,1,-431.4729504727293,-491.2417,1,-59.7687495272707
156.0,1.0,1,-495.3808603147045,,0,
157.0,1.0,1,-550.2191465892829,,0,
158.0,1.0,1,-591.6506244870834,,0,
159.0,1.0,1,-618.2227580795297,-584.719363,1,33.503395079529696
160.0,1.0,1,-630.7239882330177,,0,
161.0,1.0,1,-628.6145028998144,,0,
162.0,1.0,1,-612.3121118718991,,0,
163.0,1.0,1,-583.5405841402244,-515.243739,1,68.29684514022438
164.0,1.0,1,-545.2955336677842,,0,
165.0,1.0,1,-497.38507874216884,,0,
166.0,1.0,1,-442.2438324817922,,0,
167.0,1.0,1,-385.8326280936599,-389.302605,1,-3.4699769063401504
168.0,1.0,1,-337.19244775315747,,0,
