x,y,cluster,trend,value,set,residual
104.0,1.0,0,-386.6636805712187,,0,
105.0,1.0,0,-400.0781472454255,,0,
106.0,1.0,0,-416.9813995581353,,0,
107.0,1.0,0,-433.6594801848696,-511.931728,1,-78.27224781513041
108.0,1.0,0,-444.6106425288308,,0,
109.0,1.0,0,-445.37293532001786,,0,
110.0,1.0,0,-435.07618703861954,,0,
111.0,1.0,0,-415.2853038707399,-435.581146,1,-20.29584212926011
112.0,1.0,0,-391.99217874731403,,0,
113.0,1.0,0,-370.81314369267784,,0,
114.0,1.0,0,-351.91521191058564,,0,
115.0,1.0,0,-334.5265130668122,-288.599181,1,45.9273320668122
116.0,1.0,0,-317.6030176128261,,0,
117.0,1.0,0,-301.04846005525906,,0,
118.0,1.0,0,-284.2126852287911,,0,
119.0,1.0,0,-267.9280679966323,-207.56239,1,60.365677996632314
120.0,1.0,0,-254.94391809246736,,0,
121.0,1.0,0,-247.21260955522303,,0,
122.0,1.0,0,-241.21710750320926,,0,
123.0,1.0,0,-231.6092239409918,-437.307612,1,-205.6983880590082
124.0,1.0,0,-213.0884758293687,,0,
125.0,1.0,0,-191.92365450656507,,0,
126.0,1.0,0,-170.68929465778638,,0,
127.0,1.0,0,-148.57757302134996,-369.46331,1,-220.88573697865002
128.0,1.0,0,-122.01157486496959,,0,
129.0,1.0,0,-98.95264917903114,,0,
130.0,1.0,0,-82.84368102258304,,0,
131.0,1.0,0,-72.02286642207764,-276.961617,1,-204.93875057792235
132.0,1.0,0,-60.54312979383394,,0,
133.0,1.0,0,-53.124258392257616,,0,
134.0,1.0,0,-51.76892855728511,,0,
135.0,1.0,0,-57.229451706516556,154.75282,1,211.98227170651657
136.0,1.0,0,-71.27741206693463,,0,
137.0,1.0,0,-95.29316855361685,,0,
138.0,1.0,0,-124.99932677531615,,0,
139.0,1.0,0,-155.28800313733518,-42.485272,1,112.80273113733517
140.0,1.0,0,-181.5170267074136,,0,
141.0,1.0,0,-199.8921307621058,,0,
142.0,1.0,0,-207.57380547735374,,0,
143.0,1.0,0,-204.9122735306737,-24.745336,1,180.1669375306737
144.0,1.0,0,-195.89516068133526,,0,
145.0,1.0,0,-185.42045287345536,,0,
146.0,1.0,0,-174.39552944223396,,0,
147.0,1.0,0,-164.5347951336298,75.052743,1,239.58753813362983
148.0,1.0,0,-159.201247057179,,0,
149.0,1.0,0,-162.23725608782843,,0,
150.0,1.0,0,-178.2829023017548,,0,
151.0,1.0,0,-210.82616008690093,-178.126555,1,32.69960508690093
152.0,1.0,0,-258.9515322166262,,0,
153.0,1.0,0,-317.45249854633585,,0,
154.0,1.0,0,-380.0188771657413,,0,
