x,y,val,clust
192.0,16.0,999.249399,2.0
7.0,17.0,-146.866818,0.0
15.0,17.0,-270.10623,0.0
23.0,17.0,-468.849574,0.0
31.0,17.0,63.109971,0.0
39.0,17.0,-427.995171,0.0
47.0,17.0,-384.867924,0.0
55.0,17.0,-200.484025,0.0
63.0,17.0,-328.887371,0.0
71.0,17.0,65.530738,0.0
79.0,17.0,44.849656,3.0
87.0,17.0,238.744912,3.0
95.0,17.0,213.76812,3.0
103.0,17.0,-418.622973,3.0
111.0,17.0,-679.414957,3.0
119.0,17.0,-393.538533,3.0
127.0,17.0,225.64141,3.0
135.0,17.0,-264.751278,1.0
143.0,17.0,798.670796,1.0
151.0,17.0,-547.992295,1.0
159.0,17.0,915.677785,1.0
167.0,17.0,250.408843,2.0
175.0,17.0,-285.423732,2.0
183.0,17.0,250.401819,2.0
191.0,17.0,1077.52362,2.0
199.0,17.0,294.880268,2.0
6.0,18.0,-133.073325,0.0
14.0,18.0,-101.432407,0.0
22.0,18.0,-448.729964,0.0
30.0,18.0,-74.801839,0.0
38.0,18.0,-425.047238,0.0
46.0,18.0,-450.968551,0.0
54.0,18.0,-277.798044,0.0
62.0,18.0,-385.820124,0.0
70.0,18.0,-57.523175,0.0
78.0,18.0,-127.999721,3.0
86.0,18.0,204.405835,3.0
94.0,18.0,57.26082,3.0
102.0,18.0,-452.787145,3.0
110.0,18.0,-769.786967,3.0
118.0,18.0,-363.067225,3.0
126.0,18.0,-294.827303,3.0
134.0,18.0,10.48074,1.0
142.0,18.0,429.231959,1.0
150.0,18.0,-671.204306,1.0
158.0,18.0,655.641096,1.0
166.0,18.0,469.937551,1.0
174.0,18.0,-391.52475,2.0
182.0,18.0,153.350431,2.0
190.0,18.0,795.986743,2.0
198.0,18.0,532.358155,2.0
5.0,19.0,-42.262399,0.0
13.0,19.0,-108.605716,0.0
21.0,19.0,-392.258132,0.0
29.0,19.0,-167.037849,0.0
37.0,19.0,-391.557246,0.0
45.0,19.0,-383.291304,0.0
53.0,19.0,-244.784903,0.0
61.0,19.0,-460.046369,0.0
69.0,19.0,174.823929,0.0
77.0,19.0,-94.268046,3.0
85.0,19.0,272.057965,3.0
93.0,19.0,-68.078241,3.0
101.0,19.0,-265.663422,3.0
109.0,19.0,-710.306773,3.0
117.0,19.0,-335.409044,3.0
125.0,19.0,-743.133884,3.0
133.0,19.0,350.083181,1.0
141.0,19.0,23.629639,1.0
149.0,19.0,-488.086266,1.0
157.0,19.0,211.19141,1.0
165.0,19.0,374.918803,1.0
173.0,19.0,-323.891417,2.0
181.0,19.0,-166.139101,2.0
189.0,19.0,637.134525,2.0
197.0,19.0,669.304862,2.0
4.0,20.0,151.233428,0.0
12.0,20.0,-190.32342,0.0
20.0,20.0,-355.407094,0.0
28.0,20.0,-338.645549,0.0
36.0,20.0,-227.288967,0.0
44.0,20.0,-347.643875,0.0
52.0,20.0,-255.792711,0.0
60.0,20.0,-533.694599,0.0
68.0,20.0,-26.550193,0.0
76.0,20.0,-21.458986,3.0
84.0,20.0,136.294499,3.0
92.0,20.0,-57.235932,3.0
100.0,20.0,-191.056045,3.0
108.0,20.0,-517.345017,3.0
116.0,20.0,-331.672033,3.0
124.0,20.0,-758.094359,3.0
132.0,20.0,412.220442,1.0
140.0,20.0,-200.981663,1.0
148.0,20.0,-257.680696,1.0
156.0,20.0,-229.793524,1.0
164.0,20.0,263.54637,1.0
172.0,20.0,-297.703244,2.0
180.0,20.0,-511.086055,2.0
188.0,20.0,376.778213,2.0
196.0,20.0,934.863028,2.0
3.0,21.0,12.585749,0.0
11.0,21.0,-123.844407,0.0
19.0,21.0,-281.73083,0.0
27.0,21.0,-447.308526,0.0
35.0,21.0,-212.088286,0.0
43.0,21.0,-363.004907,0.0
51.0,21.0,-364.556441,0.0
59.0,21.0,-679.920971,0.0
67.0,21.0,-335.538427,0.0
75.0,21.0,-106.920142,3.0
83.0,21.0,-76.962729,3.0
91.0,21.0,-33.502105,3.0
99.0,21.0,-53.26916,3.0
107.0,21.0,-328.910698,3.0
115.0,21.0,-217.700355,3.0
123.0,21.0,-814.699427,3.0
131.0,21.0,257.291537,1.0
139.0,21.0,-110.459385,1.0
147.0,21.0,-208.855722,1.0
155.0,21.0,-498.199364,1.0
163.0,21.0,125.026196,1.0
171.0,21.0,-276.170464,2.0
179.0,21.0,-516.518068,2.0
187.0,21.0,6.877304,2.0
195.0,21.0,1235.872049,2.0
2.0,22.0,-171.288132,0.0
10.0,22.0,-185.308611,0.0
18.0,22.0,-257.638235,0.0
26.0,22.0,-384.926289,0.0
34.0,22.0,-285.709266,0.0
42.0,22.0,-474.547705,0.0
50.0,22.0,-454.965795,0.0
58.0,22.0,-739.527584,0.0
66.0,22.0,-498.787297,0.0
74.0,22.0,-107.020871,3.0
82.0,22.0,-236.183946,3.0
90.0,22.0,112.13154,3.0
98.0,22.0,-59.312359,3.0
106.0,22.0,-125.882794,3.0
114.0,22.0,-260.496428,3.0
122.0,22.0,-952.961119,3.0
130.0,22.0,-275.089996,3.0
138.0,22.0,57.786058,1.0
146.0,22.0,-227.703077,1.0
154.0,22.0,-564.117493,1.0
162.0,22.0,209.045475,1.0
170.0,22.0,-110.741259,2.0
178.0,22.0,-155.98672,2.0
186.0,22.0,47.888302,2.0
194.0,22.0,1463.026223,2.0
1.0,23.0,-162.720194,0.0
9.0,23.0,-270.222946,0.0
17.0,23.0,-142.274027,0.0
25.0,23.0,-519.258586,0.0
33.0,23.0,-270.921568,0.0
41.0,23.0,-400.107251,0.0
49.0,23.0,-356.27327,0.0
57.0,23.0,-641.753426,0.0
65.0,23.0,-586.270883,0.0
73.0,23.0,-18.654912,0.0
81.0,23.0,-214.169297,3.0
89.0,23.0,128.06273,3.0
97.0,23.0,-76.869613,3.0
105.0,23.0,160.396108,3.0
113.0,23.0,-451.897855,3.0
121.0,23.0,-990.278059,3.0
129.0,23.0,-547.381162,3.0
137.0,23.0,236.090952,1.0
145.0,23.0,-357.803963,1.0
153.0,23.0,-411.485538,1.0
161.0,23.0,299.090352,1.0
169.0,23.0,-255.470906,2.0
177.0,23.0,70.044453,2.0
185.0,23.0,12.592775,2.0
193.0,23.0,1104.977525,2.0
0.0,24.0,-45.332914,0.0
8.0,24.0,-244.100113,0.0
16.0,24.0,34.65889,0.0
24.0,24.0,-580.906993,0.0
32.0,24.0,-182.01855,0.0
40.0,24.0,-295.953888,0.0
48.0,24.0,-209.105981,0.0
56.0,24.0,-578.666934,0.0
64.0,24.0,-457.813035,0.0
72.0,24.0,6.449456,0.0
80.0,24.0,-174.049806,3.0
88.0,24.0,-73.728484,3.0
96.0,24.0,-125.870372,3.0
104.0,24.0,315.367912,3.0
112.0,24.0,-556.917214,3.0
120.0,24.0,-950.939812,3.0
128.0,24.0,-567.846981,3.0
136.0,24.0,331.683793,1.0
144.0,24.0,-490.005829,1.0
152.0,24.0,-352.696009,1.0
160.0,24.0,24.155265,1.0
168.0,24.0,-202.860804,2.0
176.0,24.0,-90.691855,2.0
184.0,24.0,-226.305464,2.0
192.0,24.0,626.784468,2.0
7.0,25.0,-324.58624,0.0
15.0,25.0,29.751246,0.0
23.0,25.0,-477.075569,0.0
31.0,25.0,-126.940464,0.0
39.0,25.0,-314.151231,0.0
47.0,25.0,-133.036066,0.0
55.0,25.0,-477.746118,0.0
63.0,25.0,-447.898795,0.0
71.0,25.0,-150.466189,0.0
79.0,25.0,-184.403224,3.0
87.0,25.0,-244.789979,3.0
95.0,25.0,-179.204488,3.0
103.0,25.0,320.783674,3.0
111.0,25.0,-505.14048,3.0
119.0,25.0,-754.847915,3.0
127.0,25.0,-549.896956,3.0
135.0,25.0,-38.07467,1.0
143.0,25.0,-267.173672,1.0
151.0,25.0,-472.605277,1.0
159.0,25.0,-202.694513,1.0
167.0,25.0,460.349489,2.0
175.0,25.0,-133.863362,2.0
183.0,25.0,-145.006827,2.0
191.0,25.0,204.250803,2.0
199.0,25.0,-29.519423,2.0
6.0,26.0,-327.309704,0.0
14.0,26.0,114.365107,0.0
22.0,26.0,-343.832834,0.0
30.0,26.0,-187.799109,0.0
38.0,26.0,-321.558509,0.0
46.0,26.0,-213.47975,0.0
54.0,26.0,-340.835274,0.0
62.0,26.0,-506.890195,0.0
70.0,26.0,-377.298477,0.0
78.0,26.0,-255.791175,3.0
86.0,26.0,-504.026637,3.0
94.0,26.0,-205.022598,3.0
102.0,26.0,135.562641,3.0
110.0,26.0,-448.782342,3.0
118.0,26.0,-479.46352,3.0
126.0,26.0,-506.557792,3.0
134.0,26.0,-272.801582,1.0
142.0,26.0,77.59303,1.0
150.0,26.0,-640.837281,1.0
158.0,26.0,-228.946269,1.0
166.0,26.0,905.939149,2.0
174.0,26.0,178.747652,2.0
182.0,26.0,-175.068993,2.0
190.0,26.0,-106.685388,2.0
198.0,26.0,33.06621,2.0
5.0,27.0,-395.655544,0.0
13.0,27.0,31.446462,0.0
21.0,27.0,-260.585709,0.0
29.0,27.0,-269.597374,0.0
37.0,27.0,-364.991091,0.0
45.0,27.0,-232.93662,0.0
53.0,27.0,-222.564247,0.0
61.0,27.0,-510.326999,0.0
69.0,27.0,-466.521131,0.0
77.0,27.0,-210.981507,3.0
85.0,27.0,-637.179516,3.0
93.0,27.0,13.779019,3.0
101.0,27.0,-31.393574,3.0
109.0,27.0,-402.086822,3.0
117.0,27.0,-362.211376,3.0
125.0,27.0,-561.825007,3.0
133.0,27.0,-389.695417,1.0
141.0,27.0,476.565281,1.0
149.0,27.0,-689.787718,1.0
157.0,27.0,-419.125855,1.0
165.0,27.0,871.917634,2.0
173.0,27.0,445.993626,2.0
181.0,27.0,-143.984193,2.0
189.0,27.0,-125.747662,2.0
197.0,27.0,116.394018,2.0
4.0,28.0,-440.617674,0.0
12.0,28.0,-178.493893,0.0
20.0,28.0,-255.001717,0.0
28.0,28.0,-400.715639,0.0
36.0,28.0,-414.772394,0.0
44.0,28.0,-234.535526,0.0
52.0,28.0,-300.0129,0.0
60.0,28.0,-455.910095,0.0
68.0,28.0,-426.439242,0.0
76.0,28.0,-350.724626,3.0
84.0,28.0,-566.630295,3.0
92.0,28.0,270.343507,3.0
100.0,28.0,-47.916253,3.0
108.0,28.0,-478.002442,3.0
116.0,28.0,-409.95332,3.0
124.0,28.0,-495.861006,3.0
132.0,28.0,-311.869102,1.0
140.0,28.0,430.52681,1.0
148.0,28.0,-461.053166,1.0
156.0,28.0,-490.380786,1.0
164.0,28.0,737.439177,2.0
172.0,28.0,915.749845,2.0
180.0,28.0,-113.090516,2.0
188.0,28.0,-228.000316,2.0
196.0,28.0,269.694491,2.0
3.0,29.0,-369.321563,0.0
11.0,29.0,-355.887907,0.0
19.0,29.0,-111.101095,0.0
27.0,29.0,-595.744075,0.0
35.0,29.0,-517.340681,0.0
43.0,29.0,-283.553981,0.0
51.0,29.0,-438.586661,0.0
59.0,29.0,-273.72749,0.0
67.0,29.0,-430.5804,0.0
75.0,29.0,-486.705623,3.0
83.0,29.0,-445.489821,3.0
91.0,29.0,374.473564,3.0
99.0,29.0,-60.150653,3.0
107.0,29.0,-485.064234,3.0
