x,y,val,clust
84.0,12.0,-218.623771,3.0
90.0,12.0,-394.878688,3.0
96.0,12.0,-146.300716,3.0
102.0,12.0,-213.607988,3.0
108.0,12.0,-776.85928,3.0
114.0,12.0,-484.370536,3.0
120.0,12.0,-327.398594,3.0
126.0,12.0,-480.640257,3.0
132.0,12.0,-434.476408,1.0
138.0,12.0,230.442635,1.0
144.0,12.0,805.036733,1.0
150.0,12.0,118.964957,1.0
156.0,12.0,32.610099,1.0
162.0,12.0,-347.093209,1.0
168.0,12.0,-97.080143,2.0
174.0,12.0,115.388238,2.0
180.0,12.0,460.602057,2.0
186.0,12.0,-338.33061,2.0
192.0,12.0,-60.689072,2.0
198.0,12.0,-66.483818,2.0
5.0,13.0,216.510238,0.0
11.0,13.0,266.120158,0.0
17.0,13.0,186.329038,0.0
23.0,13.0,-401.220829,0.0
29.0,13.0,-258.992538,0.0
35.0,13.0,150.625904,0.0
41.0,13.0,29.951646,0.0
47.0,13.0,-247.536461,0.0
53.0,13.0,68.817085,0.0
59.0,13.0,70.561762,0.0
65.0,13.0,-180.741777,0.0
71.0,13.0,77.180721,0.0
77.0,13.0,28.886652,3.0
83.0,13.0,-199.544617,3.0
89.0,13.0,-131.305157,3.0
95.0,13.0,-231.812675,3.0
101.0,13.0,-167.251817,3.0
107.0,13.0,-778.771369,3.0
113.0,13.0,-564.251443,3.0
119.0,13.0,-408.049286,3.0
125.0,13.0,-385.957372,3.0
131.0,13.0,-395.556497,1.0
137.0,13.0,-173.983525,1.0
143.0,13.0,1000.412371,1.0
149.0,13.0,-128.644325,1.0
155.0,13.0,213.670026,1.0
161.0,13.0,-21.015976,1.0
167.0,13.0,-231.792118,1.0
173.0,13.0,-131.448594,2.0
179.0,13.0,399.421852,2.0
185.0,13.0,-353.49497,2.0
191.0,13.0,-192.167582,2.0
197.0,13.0,-204.213775,2.0
4.0,14.0,251.823664,0.0
10.0,14.0,133.221358,0.0
16.0,14.0,130.95915,0.0
22.0,14.0,-403.524,0.0
28.0,14.0,-245.071728,0.0
34.0,14.0,-58.99555,0.0
40.0,14.0,-32.667638,0.0
46.0,14.0,-249.034633,0.0
52.0,14.0,85.480475,0.0
58.0,14.0,-70.873942,0.0
64.0,14.0,-117.172073,0.0
70.0,14.0,-109.187516,0.0
76.0,14.0,194.655188,3.0
82.0,14.0,-187.821058,3.0
88.0,14.0,273.452706,3.0
94.0,14.0,-284.154895,3.0
100.0,14.0,-95.05202,3.0
106.0,14.0,-733.725519,3.0
112.0,14.0,-697.603504,3.0
118.0,14.0,-467.512251,3.0
124.0,14.0,-239.645889,3.0
130.0,14.0,-346.803889,3.0
136.0,14.0,-154.090569,1.0
142.0,14.0,1191.355097,1.0
148.0,14.0,-399.905485,1.0
