x,y,val
102.0,0.0,-403.129118
103.0,0.0,-425.13771
104.0,0.0,-418.693301
105.0,0.0,-347.578393
106.0,0.0,-343.62147
107.0,0.0,-428.512421
108.0,0.0,-509.47614
109.0,0.0,-486.364855
110.0,0.0,-434.921213
111.0,0.0,-310.012904
112.0,0.0,-149.963232
113.0,0.0,-83.166915
114.0,0.0,-60.119306
115.0,0.0,-145.157123
116.0,0.0,-162.879975
117.0,0.0,-200.624713
118.0,0.0,-291.950917
119.0,0.0,-305.67103
120.0,0.0,-40.037057
121.0,0.0,48.719898
122.0,0.0,-213.58689
123.0,0.0,-447.058435
124.0,0.0,-467.913713
125.0,0.0,-497.45139
126.0,0.0,-532.989036
127.0,0.0,-543.192127
128.0,0.0,-536.922796
129.0,0.0,-449.608206
130.0,0.0,-341.430387
131.0,0.0,-241.655714
132.0,0.0,-100.3713
133.0,0.0,154.413857
134.0,0.0,260.614331
135.0,0.0,239.329613
136.0,0.0,194.130635
137.0,0.0,148.228314
138.0,0.0,44.65782
139.0,0.0,26.981389
140.0,0.0,-80.460222
141.0,0.0,-230.830118
142.0,0.0,-227.123171
143.0,0.0,-50.278643
144.0,0.0,54.862272
145.0,0.0,6.251782
146.0,0.0,-10.412798
147.0,0.0,-63.347761
148.0,0.0,-192.881905
149.0,0.0,-281.721095
150.0,0.0,-257.659604
151.0,0.0,-168.22891
152.0,0.0,-154.18491
153.0,0.0,-289.888395
154.0,0.0,-405.508039
155.0,0.0,-417.230838
156.0,0.0,-425.328445
157.0,0.0,-453.123317
158.0,0.0,-539.599303
159.0,0.0,-571.281828
160.0,0.0,-445.432528
161.0,0.0,-388.86825
162.0,0.0,-385.36112
163.0,0.0,-419.585846
164.0,0.0,-462.833688
165.0,0.0,-443.576378
166.0,0.0,-333.669183
167.0,0.0,-155.087933
168.0,0.0,-78.945016
169.0,0.0,-109.952121
170.0,0.0,-104.845376
171.0,0.0,-27.968253
172.0,0.0,36.804026
173.0,0.0,-145.860764
174.0,0.0,-418.979534
175.0,0.0,-579.418403
176.0,0.0,-592.861293
177.0,0.0,-528.596499
178.0,0.0,-526.300786
179.0,0.0,-652.193985
180.0,0.0,-762.878067
181.0,0.0,-704.204139
182.0,0.0,-622.847671
183.0,0.0,-521.581574
184.0,0.0,-394.644113
185.0,0.0,-384.607143
186.0,0.0,-386.242755
187.0,0.0,-414.743937
188.0,0.0,-458.894877
189.0,0.0,-483.01363
190.0,0.0,-423.468288
191.0,0.0,-253.056181
192.0,0.0,-159.284279
193.0,0.0,-216.21547
194.0,0.0,-344.831002
195.0,0.0,-377.182928
196.0,0.0,-277.883277
197.0,0.0,-141.308325
198.0,0.0,-39.921405
199.0,0.0,171.212293
0.0,1.0,512.836311
1.0,1.0,617.487569
2.0,1.0,616.439835
3.0,1.0,621.134468
4.0,1.0,659.978852
5.0,1.0,695.238031
6.0,1.0,725.624169
7.0,1.0,682.988364
8.0,1.0,601.773429
9.0,1.0,527.918954
10.0,1.0,344.548564
11.0,1.0,93.67507
12.0,1.0,-121.834109
13.0,1.0,-258.263847
14.0,1.0,-358.176839
15.0,1.0,-363.506878
16.0,1.0,-331.765502
17.0,1.0,-280.582936
18.0,1.0,-257.668957
19.0,1.0,-245.055466
20.0,1.0,-263.708799
21.0,1.0,-261.841235
22.0,1.0,-283.777047
23.0,1.0,-368.544611
24.0,1.0,-427.859315
25.0,1.0,-437.265723
26.0,1.0,-476.323923
27.0,1.0,-494.400102
28.0,1.0,-479.260116
29.0,1.0,-422.596946
30.0,1.0,-390.243848
31.0,1.0,-395.289621
32.0,1.0,-414.341304
33.0,1.0,-333.734487
34.0,1.0,-170.449757
35.0,1.0,-157.078666
36.0,1.0,-248.113424
37.0,1.0,-373.400978
38.0,1.0,-448.693434
39.0,1.0,-453.353661
40.0,1.0,-390.10513
41.0,1.0,-405.154015
42.0,1.0,-490.486604
43.0,1.0,-530.259884
44.0,1.0,-545.623301
45.0,1.0,-664.618439
46.0,1.0,-833.45728
47.0,1.0,-902.332336
48.0,1.0,-885.3872
49.0,1.0,-898.191158
50.0,1.0,-903.467955
51.0,1.0,-887.283703
52.0,1.0,-817.934723
53.0,1.0,-769.317355
54.0,1.0,-763.683866
55.0,1.0,-807.936082
56.0,1.0,-811.693758
57.0,1.0,-749.258229
58.0,1.0,-701.008102
59.0,1.0,-677.388051
60.0,1.0,-599.013351
61.0,1.0,-495.168775
62.0,1.0,-489.5415
63.0,1.0,-538.058448
64.0,1.0,-456.731536
65.0,1.0,-268.60293
66.0,1.0,-183.276057
67.0,1.0,-193.617908
68.0,1.0,-133.806573
69.0,1.0,-21.76089
70.0,1.0,85.489041
71.0,1.0,201.262991
72.0,1.0,446.443131
73.0,1.0,766.500787
74.0,1.0,1002.274023
75.0,1.0,1039.674493
76.0,1.0,728.675556
77.0,1.0,494.925935
78.0,1.0,383.531537
79.0,1.0,221.533581
80.0,1.0,119.928659
81.0,1.0,75.182035
82.0,1.0,-15.52212
83.0,1.0,-141.565533
84.0,1.0,-225.492388
85.0,1.0,-317.310206
86.0,1.0,-329.440706
87.0,1.0,-401.30109
88.0,1.0,-488.928273
89.0,1.0,-481.856197
90.0,1.0,-425.950346
91.0,1.0,-355.511471
92.0,1.0,-415.123796
93.0,1.0,-528.54677
94.0,1.0,-512.089813
95.0,1.0,-428.033593
96.0,1.0,-450.289479
97.0,1.0,-360.340254
98.0,1.0,-247.634597
99.0,1.0,-261.165633
100.0,1.0,-331.246132
101.0,1.0,-415.118207
102.0,1.0,-471.414913
103.0,1.0,-471.260221
104.0,1.0,-418.64398
105.0,1.0,-323.998784
106.0,1.0,-359.975477
107.0,1.0,-511.931728
108.0,1.0,-603.631787
109.0,1.0,-575.95685
110.0,1.0,-545.566446
111.0,1.0,-435.581146
112.0,1.0,-245.887194
113.0,1.0,-116.69627
114.0,1.0,-173.171545
115.0,1.0,-288.599181
116.0,1.0,-247.029607
117.0,1.0,-220.132041
118.0,1.0,-251.322814
119.0,1.0,-207.56239
120.0,1.0,62.084069
121.0,1.0,60.727172
122.0,1.0,-261.169585
123.0,1.0,-437.307612
124.0,1.0,-372.044167
125.0,1.0,-322.327174
126.0,1.0,-353.477461
127.0,1.0,-369.46331
128.0,1.0,-337.647999
129.0,1.0,-314.544185
130.0,1.0,-310.898578
131.0,1.0,-276.961617
132.0,1.0,-234.589246
133.0,1.0,-130.943113
134.0,1.0,19.078856
135.0,1.0,154.75282
136.0,1.0,195.292098
137.0,1.0,142.002532
138.0,1.0,33.880617
139.0,1.0,-42.485272
140.0,1.0,-135.94005
141.0,1.0,-170.66427
142.0,1.0,-154.287085
143.0,1.0,-24.745336
144.0,1.0,29.850862
145.0,1.0,-36.851096
146.0,1.0,-9.118723
147.0,1.0,75.052743
148.0,1.0,6.007323
149.0,1.0,-132.394629
150.0,1.0,-180.703728
151.0,1.0,-178.126555
152.0,1.0,-242.703643
153.0,1.0,-381.517012
154.0,1.0,-459.346089
155.0,1.0,-491.2417
156.0,1.0,-581.397312
157.0,1.0,-634.489336
158.0,1.0,-620.789165
159.0,1.0,-584.719363
160.0,1.0,-515.571787
161.0,1.0,-552.482426
162.0,1.0,-540.357477
163.0,1.0,-515.243739
164.0,1.0,-528.141459
165.0,1.0,-548.298964
166.0,1.0,-492.858099
167.0,1.0,-389.302605
168.0,1.0,-333.980133
169.0,1.0,-317.286915
170.0,1.0,-242.224208
171.0,1.0,-96.352554
172.0,1.0,-32.217029
173.0,1.0,-182.470585
174.0,1.0,-430.755898
175.0,1.0,-600.402824
176.0,1.0,-648.953455
177.0,1.0,-691.388276
178.0,1.0,-722.173107
179.0,1.0,-741.947155
180.0,1.0,-756.420653
181.0,1.0,-745.006791
182.0,1.0,-684.302069
183.0,1.0,-588.105178
184.0,1.0,-477.682097
185.0,1.0,-413.107599
186.0,1.0,-391.92094
187.0,1.0,-465.661749
188.0,1.0,-550.451155
189.0,1.0,-568.624904
190.0,1.0,-526.060138
191.0,1.0,-393.093982
192.0,1.0,-307.441086
193.0,1.0,-334.017411
194.0,1.0,-403.40669
195.0,1.0,-352.384509
196.0,1.0,-270.720193
197.0,1.0,-217.627958
198.0,1.0,-138.085165
199.0,1.0,140.971135
0.0,2.0,507.175937
1.0,2.0,622.603719
2.0,2.0,536.032161
3.0,2.0,477.967885
4.0,2.0,546.320071
5.0,2.0,641.460714
6.0,2.0,636.819659
7.0,2.0,584.759165
8.0,2.0,517.980607
9.0,2.0,458.838499
10.0,2.0,304.749845
11.0,2.0,26.45924
12.0,2.0,-222.112351
13.0,2.0,-334.095118
14.0,2.0,-339.793805
15.0,2.0,-304.13898
16.0,2.0,-328.573169
17.0,2.0,-310.044523
18.0,2.0,-268.912459
19.0,2.0,-241.809786
20.0,2.0,-265.235024
21.0,2.0,-272.019182
22.0,2.0,-308.543502
23.0,2.0,-374.647977
24.0,2.0,-398.740582
25.0,2.0,-416.187109
26.0,2.0,-479.976245
27.0,2.0,-517.216211
28.0,2.0,-524.460075
29.0,2.0,-500.625676
30.0,2.0,-489.537949
31.0,2.0,-487.927842
32.0,2.0,-501.042357
33.0,2.0,-397.073637
34.0,2.0,-222.66779
35.0,2.0,-149.519582
36.0,2.0,-180.337427
37.0,2.0,-292.821697
38.0,2.0,-385.471731
39.0,2.0,-464.182366
40.0,2.0,-493.536874
41.0,2.0,-546.081278
42.0,2.0,-571.677697
43.0,2.0,-564.907274
44.0,2.0,-592.070975
45.0,2.0,-714.906171
46.0,2.0,-866.284542
47.0,2.0,-895.857236
48.0,2.0,-830.700352
49.0,2.0,-783.191598
50.0,2.0,-796.312948
51.0,2.0,-810.304094
52.0,2.0,-741.551645
53.0,2.0,-638.441232
54.0,2.0,-642.391992
55.0,2.0,-749.451485
56.0,2.0,-804.481928
57.0,2.0,-791.256784
58.0,2.0,-758.138494
59.0,2.0,-690.306328
60.0,2.0,-566.599878
61.0,2.0,-484.248394
62.0,2.0,-474.525323
63.0,2.0,-492.840475
64.0,2.0,-349.714978
65.0,2.0,-139.393005
66.0,2.0,-64.453348
67.0,2.0,-91.863412
68.0,2.0,-85.300967
69.0,2.0,15.595084
70.0,2.0,109.882826
71.0,2.0,259.120132
72.0,2.0,510.820492
