x,y,val
68.0,10.0,-503.399596
74.0,10.0,177.462126
80.0,10.0,-313.396978
86.0,10.0,84.961263
92.0,10.0,-478.729602
98.0,10.0,-50.800539
104.0,10.0,-433.317528
110.0,10.0,-556.044899
116.0,10.0,-453.400465
122.0,10.0,-407.480862
128.0,10.0,-373.804067
134.0,10.0,-343.547661
140.0,10.0,612.760913
146.0,10.0,-362.350243
152.0,10.0,-32.530788
158.0,10.0,-193.070535
164.0,10.0,-457.280768
170.0,10.0,-279.402668
176.0,10.0,-13.979022
182.0,10.0,213.645849
188.0,10.0,-391.51356
194.0,10.0,-257.190118
1.0,11.0,5.589234
7.0,11.0,279.14392
13.0,11.0,260.539865
19.0,11.0,-244.177463
25.0,11.0,-312.268907
31.0,11.0,-65.885046
37.0,11.0,200.201811
43.0,11.0,-56.858425
49.0,11.0,-124.553233
55.0,11.0,-174.37785
61.0,11.0,-225.881762
67.0,11.0,-319.721656
73.0,11.0,38.167806
79.0,11.0,-312.799501
85.0,11.0,-141.917772
91.0,11.0,-501.097957
97.0,11.0,0.110858
103.0,11.0,-310.821512
109.0,11.0,-613.618847
115.0,11.0,-409.440698
121.0,11.0,-327.337547
127.0,11.0,-532.461337
133.0,11.0,-423.26022
139.0,11.0,634.180206
145.0,11.0,183.805872
151.0,11.0,29.958063
157.0,11.0,-68.698402
163.0,11.0,-453.652963
169.0,11.0,-213.970847
175.0,11.0,266.606031
181.0,11.0,371.19723
187.0,11.0,-336.961303
193.0,11.0,-218.673646
199.0,11.0,-76.617926
0.0,12.0,21.772496
6.0,12.0,246.237634
12.0,12.0,230.129088
18.0,12.0,-25.567658
24.0,12.0,-325.456297
30.0,12.0,-169.284869
36.0,12.0,345.067705
42.0,12.0,80.598744
48.0,12.0,-163.206285
54.0,12.0,-26.467871
60.0,12.0,-45.298145
66.0,12.0,-260.877238
72.0,12.0,167.959399
78.0,12.0,-121.56663
84.0,12.0,-218.623771
90.0,12.0,-394.878688
96.0,12.0,-146.300716
102.0,12.0,-213.607988
108.0,12.0,-776.85928
114.0,12.0,-484.370536
120.0,12.0,-327.398594
126.0,12.0,-480.640257
132.0,12.0,-434.476408
138.0,12.0,230.442635
144.0,12.0,805.036733
150.0,12.0,118.964957
156.0,12.0,32.610099
162.0,12.0,-347.093209
168.0,12.0,-97.080143
174.0,12.0,115.388238
180.0,12.0,460.602057
186.0,12.0,-338.33061
192.0,12.0,-60.689072
198.0,12.0,-66.483818
5.0,13.0,216.510238
11.0,13.0,266.120158
17.0,13.0,186.329038
23.0,13.0,-401.220829
29.0,13.0,-258.992538
35.0,13.0,150.625904
41.0,13.0,29.951646
47.0,13.0,-247.536461
53.0,13.0,68.817085
59.0,13.0,70.561762
65.0,13.0,-180.741777
71.0,13.0,77.180721
77.0,13.0,28.886652
83.0,13.0,-199.544617
89.0,13.0,-131.305157
95.0,13.0,-231.812675
101.0,13.0,-167.251817
107.0,13.0,-778.771369
113.0,13.0,-564.251443
119.0,13.0,-408.049286
125.0,13.0,-385.957372
131.0,13.0,-395.556497
137.0,13.0,-173.983525
143.0,13.0,1000.412371
149.0,13.0,-128.644325
155.0,13.0,213.670026
161.0,13.0,-21.015976
167.0,13.0,-231.792118
173.0,13.0,-131.448594
179.0,13.0,399.421852
185.0,13.0,-353.49497
191.0,13.0,-192.167582
197.0,13.0,-204.213775
4.0,14.0,251.823664
10.0,14.0,133.221358
16.0,14.0,130.95915
22.0,14.0,-403.524
28.0,14.0,-245.071728
34.0,14.0,-58.99555
40.0,14.0,-32.667638
46.0,14.0,-249.034633
52.0,14.0,85.480475
58.0,14.0,-70.873942
64.0,14.0,-117.172073
70.0,14.0,-109.187516
76.0,14.0,194.655188
82.0,14.0,-187.821058
88.0,14.0,273.452706
94.0,14.0,-284.154895
100.0,14.0,-95.05202
106.0,14.0,-733.725519
112.0,14.0,-697.603504
118.0,14.0,-467.512251
124.0,14.0,-239.645889
130.0,14.0,-346.803889
136.0,14.0,-154.090569
142.0,14.0,1191.355097
148.0,14.0,-399.905485
154.0,14.0,245.314339
160.0,14.0,45.62149
166.0,14.0,-325.237272
172.0,14.0,-95.447048
178.0,14.0,127.180657
184.0,14.0,-19.898715
190.0,14.0,-313.621293
196.0,14.0,-13.240823
3.0,15.0,329.016851
9.0,15.0,-14.257122
15.0,15.0,-65.804244
21.0,15.0,-442.73756
27.0,15.0,-237.449642
33.0,15.0,-71.775119
39.0,15.0,-159.797716
45.0,15.0,-366.615907
51.0,15.0,139.82061
57.0,15.0,-234.624518
63.0,15.0,-133.097495
69.0,15.0,-164.939718
75.0,15.0,424.763723
81.0,15.0,-183.110743
87.0,15.0,329.772554
93.0,15.0,-286.040443
99.0,15.0,81.714136
105.0,15.0,-647.266898
111.0,15.0,-712.129319
117.0,15.0,-446.268176
123.0,15.0,-437.120512
129.0,15.0,-233.578651
135.0,15.0,-223.978693
141.0,15.0,1062.948701
147.0,15.0,-253.677784
153.0,15.0,280.221248
159.0,15.0,462.012077
165.0,15.0,-131.060943
171.0,15.0,-265.286898
177.0,15.0,140.205052
183.0,15.0,284.673118
189.0,15.0,-85.697352
195.0,15.0,640.343026
2.0,16.0,310.002934
8.0,16.0,-2.621592
14.0,16.0,-62.821363
20.0,16.0,-495.195966
26.0,16.0,-357.531759
32.0,16.0,-24.507013
38.0,16.0,-326.565664
44.0,16.0,-485.933811
50.0,16.0,-92.687933
56.0,16.0,-157.064434
62.0,16.0,-262.073733
68.0,16.0,-302.193706
74.0,16.0,529.686704
80.0,16.0,-69.379117
86.0,16.0,197.137169
92.0,16.0,-312.670689
98.0,16.0,317.522277
