x,y,val,clust
79.0,1.0,221.533581,3.0
83.0,1.0,-141.565533,3.0
87.0,1.0,-401.30109,3.0
91.0,1.0,-355.511471,3.0
95.0,1.0,-428.033593,3.0
99.0,1.0,-261.165633,3.0
103.0,1.0,-471.260221,3.0
107.0,1.0,-511.931728,3.0
111.0,1.0,-435.581146,3.0
115.0,1.0,-288.599181,3.0
119.0,1.0,-207.56239,3.0
123.0,1.0,-437.307612,3.0
127.0,1.0,-369.46331,3.0
131.0,1.0,-276.961617,3.0
135.0,1.0,154.75282,1.0
139.0,1.0,-42.485272,1.0
143.0,1.0,-24.745336,1.0
147.0,1.0,75.052743,1.0
151.0,1.0,-178.126555,1.0
155.0,1.0,-491.2417,1.0
159.0,1.0,-584.719363,1.0
163.0,1.0,-515.243739,1.0
167.0,1.0,-389.302605,1.0
171.0,1.0,-96.352554,2.0
175.0,1.0,-600.402824,2.0
179.0,1.0,-741.947155,2.0
183.0,1.0,-588.105178,2.0
187.0,1.0,-465.661749,2.0
191.0,1.0,-393.093982,2.0
195.0,1.0,-352.384509,2.0
199.0,1.0,140.971135,2.0
2.0,2.0,536.032161,0.0
6.0,2.0,636.819659,0.0
10.0,2.0,304.749845,0.0
14.0,2.0,-339.793805,0.0
18.0,2.0,-268.912459,0.0
22.0,2.0,-308.543502,0.0
26.0,2.0,-479.976245,0.0
30.0,2.0,-489.537949,0.0
34.0,2.0,-222.66779,0.0
38.0,2.0,-385.471731,0.0
42.0,2.0,-571.677697,0.0
46.0,2.0,-866.284542,0.0
50.0,2.0,-796.312948,0.0
54.0,2.0,-642.391992,0.0
58.0,2.0,-758.138494,0.0
62.0,2.0,-474.525323,0.0
66.0,2.0,-64.453348,0.0
70.0,2.0,109.882826,3.0
74.0,2.0,890.925152,3.0
78.0,2.0,314.957705,3.0
82.0,2.0,-110.070171,3.0
86.0,2.0,-386.825535,3.0
90.0,2.0,-332.069806,3.0
94.0,2.0,-465.607626,3.0
98.0,2.0,-201.021651,3.0
102.0,2.0,-475.231743,3.0
106.0,2.0,-398.174171,3.0
110.0,2.0,-616.895036,3.0
114.0,2.0,-308.645127,3.0
118.0,2.0,-326.686436,3.0
122.0,2.0,-319.216001,3.0
126.0,2.0,-184.351821,3.0
130.0,2.0,-106.959931,3.0
134.0,2.0,-111.579532,1.0
138.0,2.0,-112.741917,1.0
142.0,2.0,-222.124311,1.0
146.0,2.0,-148.884339,1.0
150.0,2.0,-38.13988,1.0
154.0,2.0,-497.932693,1.0
158.0,2.0,-698.9366,1.0
162.0,2.0,-649.31286,1.0
166.0,2.0,-450.623618,1.0
170.0,2.0,-308.368042,2.0
174.0,2.0,-444.925951,2.0
178.0,2.0,-644.477731,2.0
182.0,2.0,-672.883836,2.0
186.0,2.0,-294.835599,2.0
190.0,2.0,-613.131666,2.0
194.0,2.0,-365.065836,2.0
198.0,2.0,-260.520963,2.0
1.0,3.0,549.012753,0.0
5.0,3.0,637.964308,0.0
9.0,3.0,332.979326,0.0
13.0,3.0,-318.828084,0.0
17.0,3.0,-300.926311,0.0
21.0,3.0,-283.500679,0.0
25.0,3.0,-448.919,0.0
29.0,3.0,-570.988468,0.0
33.0,3.0,-405.54487,0.0
37.0,3.0,-165.224073,0.0
41.0,3.0,-562.743569,0.0
45.0,3.0,-662.601625,0.0
49.0,3.0,-707.43854,0.0
53.0,3.0,-630.204898,0.0
57.0,3.0,-756.821022,0.0
61.0,3.0,-468.440649,0.0
65.0,3.0,-48.957117,0.0
69.0,3.0,22.475374,0.0
73.0,3.0,695.273652,3.0
77.0,3.0,452.382242,3.0
81.0,3.0,-130.811804,3.0
85.0,3.0,-453.617325,3.0
89.0,3.0,-465.485028,3.0
93.0,3.0,-449.170623,3.0
97.0,3.0,-256.0619,3.0
101.0,3.0,-505.862818,3.0
105.0,3.0,-255.141402,3.0
109.0,3.0,-609.627525,3.0
113.0,3.0,-329.23385,3.0
117.0,3.0,-464.676743,3.0
121.0,3.0,-151.327318,3.0
125.0,3.0,48.962097,3.0
129.0,3.0,60.115387,3.0
133.0,3.0,-8.445853,1.0
137.0,3.0,-200.452593,1.0
141.0,3.0,-367.652247,1.0
145.0,3.0,-309.537094,1.0
149.0,3.0,166.472395,1.0
153.0,3.0,-335.376919,1.0
157.0,3.0,-799.88764,1.0
161.0,3.0,-730.906792,1.0
165.0,3.0,-697.441316,1.0
169.0,3.0,-152.474744,1.0
173.0,3.0,-424.878274,2.0
177.0,3.0,-612.211674,2.0
181.0,3.0,-636.257718,2.0
185.0,3.0,-354.885105,2.0
189.0,3.0,-524.349584,2.0
193.0,3.0,-285.080159,2.0
197.0,3.0,-403.096189,2.0
0.0,4.0,414.74216,0.0
4.0,4.0,566.006328,0.0
8.0,4.0,275.633354,0.0
12.0,4.0,-249.533889,0.0
16.0,4.0,-260.143065,0.0
20.0,4.0,-166.041975,0.0
24.0,4.0,-451.497888,0.0
28.0,4.0,-560.592405,0.0
32.0,4.0,-456.554188,0.0
36.0,4.0,-90.977162,0.0
40.0,4.0,-303.360548,0.0
44.0,4.0,-553.552542,0.0
48.0,4.0,-698.32284,0.0
52.0,4.0,-845.953879,0.0
56.0,4.0,-601.726968,0.0
60.0,4.0,-508.897726,0.0
64.0,4.0,-230.046768,0.0
68.0,4.0,1.264026,0.0
72.0,4.0,249.287608,3.0
76.0,4.0,534.661096,3.0
80.0,4.0,-93.747729,3.0
84.0,4.0,-386.881418,3.0
88.0,4.0,-446.236615,3.0
92.0,4.0,-471.466115,3.0
96.0,4.0,-411.714047,3.0
100.0,4.0,-516.903612,3.0
104.0,4.0,-181.268461,3.0
108.0,4.0,-685.88541,3.0
112.0,4.0,-436.763768,3.0
116.0,4.0,-635.125215,3.0
120.0,4.0,-189.371493,3.0
124.0,4.0,-64.045324,3.0
128.0,4.0,110.573413,3.0
132.0,4.0,114.887707,1.0
136.0,4.0,-203.484901,1.0
140.0,4.0,-490.761051,1.0
144.0,4.0,-362.403101,1.0
148.0,4.0,-145.059879,1.0
152.0,4.0,-32.550694,1.0
156.0,4.0,-596.03716,1.0
160.0,4.0,-876.725123,1.0
164.0,4.0,-706.281823,1.0
168.0,4.0,-160.95765,1.0
172.0,4.0,-214.435663,2.0
176.0,4.0,-463.89431,2.0
180.0,4.0,-419.837416,2.0
184.0,4.0,-405.810432,2.0
188.0,4.0,-282.285261,2.0
192.0,4.0,-279.528068,2.0
196.0,4.0,-349.476358,2.0
3.0,5.0,511.678097,0.0
7.0,5.0,340.85417,0.0
11.0,5.0,3.77773,0.0
15.0,5.0,-218.722695,0.0
19.0,5.0,-179.443084,0.0
23.0,5.0,-401.438649,0.0
27.0,5.0,-491.182171,0.0
31.0,5.0,-532.115218,0.0
35.0,5.0,-210.014272,0.0
39.0,5.0,-121.394036,0.0
43.0,5.0,-392.649269,0.0
47.0,5.0,-550.705665,0.0
51.0,5.0,-813.100679,0.0
55.0,5.0,-634.683314,0.0
59.0,5.0,-486.907401,0.0
63.0,5.0,-256.171319,0.0
67.0,5.0,-55.504049,0.0
71.0,5.0,-20.97952,3.0
75.0,5.0,585.508702,3.0
79.0,5.0,5.017362,3.0
83.0,5.0,-293.100989,3.0
87.0,5.0,-320.372865,3.0
91.0,5.0,-390.502309,3.0
95.0,5.0,-366.495217,3.0
99.0,5.0,-334.077201,3.0
103.0,5.0,-237.873867,3.0
107.0,5.0,-634.021944,3.0
111.0,5.0,-498.738232,3.0
115.0,5.0,-745.767599,3.0
119.0,5.0,-360.126708,3.0
123.0,5.0,-315.1406,3.0
127.0,5.0,154.516023,3.0
131.0,5.0,147.828265,3.0
135.0,5.0,-97.230791,1.0
139.0,5.0,-419.584519,1.0
143.0,5.0,-507.32273,1.0
147.0,5.0,-50.263871,1.0
151.0,5.0,227.454103,1.0
155.0,5.0,-425.556834,1.0
159.0,5.0,-869.466021,1.0
163.0,5.0,-639.474539,1.0
167.0,5.0,-495.686903,1.0
171.0,5.0,-58.180375,2.0
175.0,5.0,-255.240805,2.0
179.0,5.0,-90.068265,2.0
183.0,5.0,-280.551353,2.0
187.0,5.0,-272.862661,2.0
191.0,5.0,-167.04769,2.0
195.0,5.0,-242.1875,2.0
199.0,5.0,325.610864,2.0
2.0,6.0,329.164381,0.0
6.0,6.0,488.921369,0.0
10.0,6.0,157.579066,0.0
14.0,6.0,-149.653174,0.0
18.0,6.0,-220.181134,0.0
22.0,6.0,-287.031044,0.0
26.0,6.0,-409.957431,0.0
30.0,6.0,-634.875658,0.0
34.0,6.0,-329.865368,0.0
38.0,6.0,-85.54626,0.0
42.0,6.0,-224.588886,0.0
